MANIFEST IDENTIFER NUMBER,SHIP NAME,CODE FOR SHIP PORT OF EMBARKATION,SHIP ARRIVAL DATE,NUMBER OF CORRESPONDING PASSENGERS
1078,GREAT BRITAIN,4,05-29-1846,3
1079,PACIFIC,4,09-19-1846,213
1080,BROOKSBY,6,09-21-1846,3
1081,JANE,4,05-29-1846,218
1082,CHUSAN,4,05-30-1846,151
1083,MERSEY,4,05-30-1846,275
1084,INDEPENDENCE,4,09-22-1846,185
1085,BELFAST,142,07-02-1846,4
1087,POLAND,17,07-03-1846,1
1089,LIVERPOOL,4,11-16-1846,300
1090,MANCHESTER,4,09-25-1846,143
1091,GREAT WESTERN,4,11-17-1846,27
1092,SCOTIA,156,11-18-1846,8
1093,YORKSHIRE,4,11-19-1846,282
1094,RAPPAHANOCK,4,06-24-1846,453
1095,ANN STILLE,157,06-24-1846,1
1096,PRINCE ALBERT,61,06-25-1846,64
1097,WATERLOO,4,09-26-1846,205
1098,COLUMBIA,4,11-19-1846,356
1102,HAMPDEN,4,12-08-1846,259
1103,GREAT WESTERN,4,09-30-1846,20
1106,HENRY,4,11-20-1846,326
1108,OHIO,4,10-01-1846,58
1109,NIAGARA,4,10-01-1846,200
1110,SHERIDAN,4,08-20-1846,134
1111,COLLECTOR,70,11-20-1846,2
1112,AURELIUS,4,11-21-1846,43
1113,MAYFIELD,4,06-25-1846,279
1114,PANTHEA,4,08-20-1846,26
1116,CORNELIA,4,07-06-1846,8
1117,CORSAIR,149,10-03-1846,2
1118,FIDELIA,4,10-05-1846,258
1120,GLIDDON,61,10-05-1846,107
1121,CORNELIA,4,11-23-1846,317
1122,HUGUENOT,4,10-05-1846,55
1123,ADAM CARR,6,10-06-1846,2
1125,PRATENCOLE,147,10-07-1846,1
1126,VERONICA,147,10-08-1846,1
1127,NEW YORK PACKET,147,10-12-1846,14
1129,PANAMA,4,10-12-1846,30
1130,RAPID,147,10-12-1846,5
1131,MARGARET EVANS,61,11-27-1846,5
1131,MARGARET EVANS,4,10-12-1846,88
1133,HOTTINGUER,4,10-12-1846,134
1135,ROBERT A PARKE,4,08-21-1846,106
1136,ROSCIUS,4,10-12-1846,368
1137,MARMION,4,08-22-1846,50
1138,OXFORD,4,08-22-1846,122
1139,MARMION,4,11-28-1846,186
1141,SOUTHERNER,4,08-25-1846,41
1144,SEA OF NEW YORK,4,08-27-1846,62
1145,LUCONIA,4,10-13-1846,23
1146,EMPIRE,4,11-30-1846,294
1147,STEPHEN WHITNEY,4,11-30-1846,321
1149,VIRGINIAN,4,08-27-1846,149
1150,NORTHUMBERLAND,61,12-08-1846,21
1154,COSMO,52,12-09-1846,37
1155,BRILLIANT,4,06-29-1846,116
1156,DOLPHIN,67,10-13-1846,3
1157,BURLINGTON,4,10-14-1846,197
1158,HARRIET,60,06-29-1846,1
1160,VERMONT,6,10-19-1846,33
1161,ELEUTHERIA,158,10-23-1846,4
1163,ASHBURTON,4,10-27-1846,316
1166,SIR C CAMPBELL,4,07-07-1846,214
1167,FOAM,102,07-07-1846,2
1168,ST. MARGARET,147,07-08-1846,4
1169,EUROPE,4,10-29-1846,246
1171,ANN HARLEY,6,12-11-1846,10
1172,CLAUSMAN,6,07-08-1846,2
1174,LIVERPOOL,4,07-14-1846,272
1175,QUEEN OF THE WEST,4,12-11-1846,261
1178,ELIZABETH DENISON,4,07-20-1846,126
1182,CHRISTIANA,61,10-27-1846,2
1187,WESTMINSTER,61,07-10-1846,47
